기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240501,05,GM00000001,2,23,Y
20240501,05,GM00000002,1,207,Y
20240501,05,GM00000002,2,104,Y
20240501,05,GM00000003,1,11,Y
20240501,05,GM00000003,2,7,Y
20240501,05,GM00000004,1,5,Y
20240501,05,GM00000004,2,4,Y
20240501,05,GM00000005,1,5,Y
20240501,05,GM00000005,2,3,Y
20240501,05,GM00000006,1,2,Y
20240501,05,GM00000007,1,575,Y
20240501,05,GM00000007,2,389,Y
20240501,05,GM00000008,1,5,Y
20240501,05,GM00000008,2,2,Y
20240501,05,GM00000009,1,9,Y
20240501,05,GM00000010,1,362,Y
20240501,05,GM00000010,2,401,Y
20240501,05,GM00000011,1,45,Y
20240501,05,GM00000011,2,17,Y
20240501,05,GM00000012,1,525,Y
20240501,05,GM00000012,2,243,Y
20240501,05,GM00000014,1,3,Y
20240501,05,GM00000014,2,4,Y
20240501,05,GM00000015,1,363,Y
20240501,05,GM00000015,2,631,Y
20240501,05,GM00000016,1,31,Y
20240501,05,GM00000016,2,18,Y
20240501,05,GM00000017,1,414,Y
20240501,05,GM00000017,2,154,Y
20240501,05,GM00000019,1,231,Y
20240501,05,GM00000019,2,196,Y
20240501,05,GM00000020,1,569,Y
20240501,05,GM00000020,2,707,Y
20240501,05,GM00000021,1,94,Y
20240501,05,GM00000021,2,154,Y
20240501,05,GM00000022,1,169,Y
20240501,05,GM00000022,2,220,Y
20240501,05,GM00000023,1,324,Y
20240501,05,GM00000023,2,223,Y
20240501,05,GM00000024,1,3,Y
20240501,05,GM00000024,2,1,Y
20240501,05,GM00000025,2,2,Y
20240501,05,GM00000026,2,2,Y
20240501,05,GM00000028,1,24,Y
20240501,05,GM00000028,2,26,Y
20240501,05,GM00000030,2,1,Y
20240501,05,GM00000031,1,378,Y
20240501,05,GM00000031,2,154,Y
20240501,05,GM00000032,1,278,Y
20240501,05,GM00000032,2,210,Y
20240501,05,GM00000033,1,99,Y
20240501,05,GM00000033,2,50,Y
20240501,05,GM00000034,1,83,Y
20240501,05,GM00000035,1,451,Y
20240501,05,GM00000035,2,302,Y
20240501,05,GM00000036,1,323,Y
20240501,05,GM00000036,2,380,Y
20240501,05,GM00000037,1,7,Y
20240501,05,GM00000038,1,663,Y
20240501,05,GM00000038,2,365,Y
20240501,05,GM00000039,1,13,Y
20240501,05,GM00000039,2,5,Y
20240501,05,GM00000041,1,1,Y
20240501,05,GM00000041,2,1,Y
20240501,05,GM00000042,2,1,Y
20240501,05,GM00000043,1,33,Y
20240501,05,GM00000043,2,41,Y
20240501,05,GM00000044,1,9,Y
20240501,05,GM00000044,2,4,Y
20240501,05,GM00000045,1,65,Y
20240501,05,GM00000045,2,23,Y
20240501,06,GM00000001,1,143,Y
20240501,06,GM00000001,2,57,Y
20240501,06,GM00000002,1,542,Y
20240501,06,GM00000002,2,190,Y
20240501,06,GM00000003,1,34,Y
20240501,06,GM00000003,2,18,Y
20240501,06,GM00000004,1,5,Y
20240501,06,GM00000004,2,10,Y
20240501,06,GM00000005,1,23,Y
20240501,06,GM00000005,2,5,Y
20240501,06,GM00000006,1,5,Y
20240501,06,GM00000007,1,1021,Y
20240501,06,GM00000007,2,632,Y
20240501,06,GM00000008,1,13,Y
20240501,06,GM00000008,2,4,Y
20240501,06,GM00000009,1,28,Y
20240501,06,GM00000009,2,2,Y
20240501,06,GM00000010,1,662,Y
20240501,06,GM00000010,2,531,Y
20240501,06,GM00000011,1,77,Y
20240501,06,GM00000011,2,63,Y
20240501,06,GM00000012,1,823,Y
20240501,06,GM00000012,2,335,Y
20240501,06,GM00000014,1,8,Y
20240501,06,GM00000014,2,17,Y
20240501,06,GM00000015,1,712,Y
20240501,06,GM00000015,2,966,Y
20240501,06,GM00000016,1,56,Y
20240501,06,GM00000016,2,32,Y
20240501,06,GM00000017,1,639,Y
20240501,06,GM00000017,2,294,Y
